#{"t_start": 1643228505.732876, "env_id": null}
r,l,t
-287.639841,1364,13.322726
-117.002532,771,31.868032
-674.024821,2498,70.022203
-953.32953,2415,112.834613
-28.079594,127,114.526859
-1.805486,50,114.59613
-158.462979,543,120.38629
-216.835537,879,140.496033
-66.315679,374,144.258622
-156.500536,737,152.700641
-278.30321,1333,179.34484
-221.511285,698,187.66365
-80.37156,425,192.653141
-241.238017,1471,219.731771
-387.189348,1037,240.604906
-16.109554,105,241.109609
-8.815175,78,242.728914
-232.292989,1011,254.120585
-260.899941,797,272.325751
-292.035386,725,284.306626
-148.772314,628,295.524514
-388.864998,1511,326.738088
27.642943,64,327.690014
-116.529132,809,339.122492
-364.073457,1139,363.237856
-454.23168,1486,391.952946
-657.016405,2160,434.172564
-89.932155,509,443.867385
-313.599081,1092,470.433142
-276.139282,921,489.396075
-129.867009,501,502.04153
-40.018348,173,502.975967
-583.481571,1573,549.160605
4.970818,43,549.224576
-19.498704,169,552.85808
-357.546825,1403,590.938444
-6.324464,66,594.96001
-119.170136,533,604.487184
-222.99562,966,628.890725
-4.890504,46,628.956279
-75.96062,494,639.688884
-1.0,1,639.690499
-1.0,47,641.402413
-60.971453,812,653.769305
-13.807912,110,656.862602
55.069513,757,682.005807
114.553903,827,698.275565
-242.017119,1270,730.182556
-673.01123,2734,794.009136
-393.961443,1227,832.352524
-723.892907,2745,893.352018
-944.957045,2853,963.654353
57.545106,176,971.296654
-233.410193,1207,994.952689
-13.8,17,996.221941
-443.96968,2012,1046.052444
-7.32155,51,1046.145587
231.975421,1294,1077.172215
-11.457544,106,1080.163162
-12.97572,161,1083.646015
180.525751,1850,1128.381229
-8.701956,62,1130.358112
-956.310893,3542,1204.63095
-184.314658,700,1214.652021
-48.585183,269,1221.285246
-87.516772,273,1223.555779
-122.450878,1795,1275.535334
-1283.830324,6261,1424.456666
-257.230287,619,1438.667346
-12.19375,87,1449.332758
-1.0,1,1449.334805
-8.838688,136,1452.604122
-138.522153,2812,1504.50234
-734.569762,2631,1552.999625
-105.541072,371,1558.608907
-1.0,50,1558.696777
175.419818,2865,1631.122314
-454.306327,1085,1652.837404
-269.617447,688,1669.657781
-101.801144,350,1675.682534
-41.031083,279,1679.276675
-47.155652,264,1684.972304
-74.684145,113,1686.548508
39.120033,288,1691.189
-74.891126,253,1693.785386
71.607458,184,1707.318986
-283.724621,1157,1725.999228
8.974264,147,1728.537298
-34.150174,357,1732.403776
-35.429504,46,1735.339428
294.893876,1846,1781.419677
-518.071293,1482,1811.718946
234.199582,764,1822.659192
-567.652614,1989,1862.267242
431.635505,593,1882.83955
-7.888406,58,1883.651265
-97.590348,377,1891.827609
-215.960421,669,1899.915244
152.341455,4100,2002.929963
-1.90556,9,2002.946766
149.811228,723,2027.492727
-3.529814,42,2027.558629
-2.949206,54,2027.649163
-73.758431,245,2029.809228
182.267658,313,2035.713363
-595.433749,1153,2056.594749
-320.077797,1093,2088.353814
-1323.314019,3438,2171.088788
114.733851,499,2178.368092
-475.161141,1948,2229.281572
72.555534,521,2240.165942
-6.544139,63,2241.880001
-262.524358,1497,2275.545708
-31.744012,2059,2318.08674
-17.0,21,2318.114635
-32.125883,106,2319.901459
-3.110184,41,2319.956953
552.867492,678,2331.548641
-232.06605,961,2359.108976
-495.56786,1918,2405.812488
-449.965573,1165,2426.419498
227.397293,1113,2455.160056
-1570.901579,8276,2695.514281
15.419471,312,2705.428895
55.891653,1863,2757.178414
12.153274,272,2763.986232
16.848063,24,2764.024142
350.022351,603,2778.977235
1192.575934,1944,2829.807284
-1.0,1,2829.808891
230.445693,322,2835.231019
