#{"t_start": 1643372178.8666418, "env_id": null}
r,l,t
-54.503986,356,5.182717
13.26578,376,12.225827
56.000499,64,13.549822
-95.515006,312,19.193027
-53.051129,397,26.666504
-105.473154,371,33.820952
13.300793,99,35.221962
-129.133076,514,44.693959
-79.405998,206,48.840189
-112.327659,217,53.330768
15.723739,218,57.367984
-37.559906,454,65.243823
28.0,64,66.466895
-243.883087,783,81.791729
-27.193557,181,84.710097
-46.164486,155,88.253564
-1.0,1,88.270771
-53.863048,447,97.455241
-2.6,3,97.49772
-107.488762,418,105.608505
-62.149053,274,110.869716
23.121259,459,120.523546
-34.255471,130,124.535044
-4.86265,518,136.264122
-6.468556,758,157.848382
-11.182101,295,163.925701
65.264081,746,182.066329
-1.0,1,182.080398
-50.922511,390,191.208967
2.031142,13,191.398001
-95.25135,400,200.123468
10.319683,444,210.88517
